time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,9.72037e-05,6.66845e-05,-4916.7,-4.99829e-06,1.91626e-15,4.99829e-06,6.93862e-12
0,0.000195807,5.00265e-05,3281.54,3.33599e-06,1.91626e-15,-3.33599e-06,-4.63102e-12
0,9.72538e-05,6.69749e-05,-4914.95,-4.99651e-06,1.91626e-15,4.99651e-06,6.93615e-12
0,0.00019588,5.04626e-05,3280.97,3.33542e-06,1.91626e-15,-3.33542e-06,-4.63022e-12
0,9.72727e-05,6.70842e-05,-4914.24,-4.99579e-06,1.91626e-15,4.99579e-06,6.93514e-12
0,9.73041e-05,6.72655e-05,-4915.55,-4.99712e-06,1.91626e-15,4.99712e-06,6.93699e-12
0,0.000195952,5.08989e-05,3279.92,3.33435e-06,1.91626e-15,-3.33435e-06,-4.62873e-12
0,9.73532e-05,6.75563e-05,-4917.39,-4.999e-06,1.91626e-15,4.999e-06,6.9396e-12
0,0.000196025,5.13352e-05,3278.39,3.3328e-06,1.91626e-15,-3.3328e-06,-4.62658e-12
0,9.74012e-05,6.78475e-05,-4918.89,-5.00052e-06,1.91626e-15,5.00052e-06,6.94171e-12
0,0.000196061,5.15431e-05,3277.56,3.33195e-06,1.91626e-15,-3.33195e-06,-4.62541e-12
0,0.000196099,5.17717e-05,3278.56,3.33297e-06,1.91626e-15,-3.33297e-06,-4.62682e-12
0,9.74482e-05,6.8139e-05,-4920.04,-5.00169e-06,1.91626e-15,5.00169e-06,6.94334e-12
0,0.000196171,5.22087e-05,3280.16,3.3346e-06,1.91626e-15,-3.3346e-06,-4.62908e-12
0,9.74944e-05,6.84308e-05,-4920.86,-5.00252e-06,1.91626e-15,5.00252e-06,6.9445e-12
0,0.000196241,5.26463e-05,3281.26,3.33571e-06,1.91626e-15,-3.33571e-06,-4.63063e-12
0,9.754e-05,6.87228e-05,-4921.37,-5.00304e-06,1.91626e-15,5.00304e-06,6.94521e-12
0,0.00019631,5.30843e-05,3281.89,3.33635e-06,1.91626e-15,-3.33635e-06,-4.63151e-12
0,9.75851e-05,6.90151e-05,-4921.57,-5.00324e-06,1.91626e-15,5.00324e-06,6.94549e-12
0,0.000196378,5.35226e-05,3282.05,3.33652e-06,1.91626e-15,-3.33652e-06,-4.63175e-12
0,9.76298e-05,6.93075e-05,-4921.46,-5.00313e-06,1.91626e-15,5.00313e-06,6.94534e-12
0,0.000196445,5.39612e-05,3281.78,3.33624e-06,1.91626e-15,-3.33624e-06,-4.63137e-12
0,9.76742e-05,6.96001e-05,-4921.06,-5.00273e-06,1.91626e-15,5.00273e-06,6.94478e-12
0,0.000196512,5.44001e-05,3281.09,3.33553e-06,1.91626e-15,-3.33553e-06,-4.63038e-12
0,9.77185e-05,6.98929e-05,-4920.38,-5.00203e-06,1.91626e-15,5.00203e-06,6.94381e-12
0,0.000196579,5.48391e-05,3279.98,3.33441e-06,1.91626e-15,-3.33441e-06,-4.62882e-12
0,9.77628e-05,7.01858e-05,-4919.41,-5.00105e-06,1.91626e-15,5.00105e-06,6.94245e-12
0,0.000196647,5.52782e-05,3278.47,3.33287e-06,1.91626e-15,-3.33287e-06,-4.62669e-12
0,9.78072e-05,7.04788e-05,-4918.18,-4.99979e-06,1.91626e-15,4.99979e-06,6.94071e-12
0,0.000196667,5.54035e-05,3278.01,3.3324e-06,1.91626e-15,-3.3324e-06,-4.62604e-12
0,0.000196715,5.57175e-05,3279.25,3.33367e-06,1.91626e-15,-3.33367e-06,-4.6278e-12
0,9.78518e-05,7.07719e-05,-4916.68,-4.99827e-06,1.91626e-15,4.99827e-06,6.93859e-12
0,0.000196782,5.61573e-05,3280.67,3.33511e-06,1.91626e-15,-3.33511e-06,-4.62979e-12
0,9.78788e-05,7.09489e-05,-4915.67,-4.99725e-06,1.91626e-15,4.99725e-06,6.93717e-12
0,9.78965e-05,7.10651e-05,-4916.4,-4.99799e-06,1.91626e-15,4.99799e-06,6.9382e-12
0,0.000196846,5.65975e-05,3281.66,3.33612e-06,1.91626e-15,-3.33612e-06,-4.63119e-12
0,9.79404e-05,7.13586e-05,-4918.1,-4.99972e-06,1.91626e-15,4.99972e-06,6.9406e-12
0,0.000196909,5.70381e-05,3282.25,3.33672e-06,1.91626e-15,-3.33672e-06,-4.63203e-12
0,9.79832e-05,7.16524e-05,-4919.53,-5.00117e-06,1.91626e-15,5.00117e-06,6.94261e-12
0,0.000196971,5.74791e-05,3282.47,3.33694e-06,1.91626e-15,-3.33694e-06,-4.63233e-12
0,9.80252e-05,7.19464e-05,-4920.69,-5.00235e-06,1.91626e-15,5.00235e-06,6.94425e-12
0,0.000197033,5.79203e-05,3282.31,3.33678e-06,1.91626e-15,-3.33678e-06,-4.63212e-12
0,9.80663e-05,7.22407e-05,-4921.59,-5.00326e-06,1.91626e-15,5.00326e-06,6.94552e-12
0,0.000197094,5.83618e-05,3281.8,3.33626e-06,1.91626e-15,-3.33626e-06,-4.63139e-12
0,9.81068e-05,7.25352e-05,-4922.25,-5.00393e-06,1.91626e-15,5.00393e-06,6.94645e-12
0,0.000197155,5.88034e-05,3280.95,3.33539e-06,1.91626e-15,-3.33539e-06,-4.63019e-12
0,9.81466e-05,7.28299e-05,-4922.66,-5.00435e-06,1.91626e-15,5.00435e-06,6.94704e-12
0,0.000197217,5.92452e-05,3279.76,3.33418e-06,1.91626e-15,-3.33418e-06,-4.62851e-12
0,9.8186e-05,7.31248e-05,-4922.85,-5.00454e-06,1.91626e-15,5.00454e-06,6.9473e-12
0,0.000197273,5.96403e-05,3278.43,3.33284e-06,1.91626e-15,-3.33284e-06,-4.62664e-12
0,0.000197279,5.96871e-05,3278.61,3.33301e-06,1.91626e-15,-3.33301e-06,-4.62688e-12
0,9.8225e-05,7.34198e-05,-4922.81,-5.0045e-06,1.91626e-15,5.0045e-06,6.94724e-12
0,0.000197341,6.01293e-05,3280.13,3.33456e-06,1.91626e-15,-3.33456e-06,-4.62903e-12
0,9.82636e-05,7.37151e-05,-4922.55,-5.00424e-06,1.91626e-15,5.00424e-06,6.94687e-12
0,0.0001974,6.05719e-05,3281.3,3.33575e-06,1.91626e-15,-3.33575e-06,-4.63069e-12
0,9.8302e-05,7.40104e-05,-4922.08,-5.00376e-06,1.91626e-15,5.00376e-06,6.94621e-12
0,0.000197458,6.10149e-05,3282.14,3.3366e-06,1.91626e-15,-3.3366e-06,-4.63187e-12
