alpha_c,T_C,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin,Lstar_m
7.462936e-03,-40.0,8.919230e+06,1.809077e-08,B-KINETIC,3.517800e+04,6.187458e+08,0.9974,1.674392e-05
7.462936e-03,-20.0,1.064052e+06,1.396623e-07,B-KINETIC,4.557000e+03,1.038540e+07,0.9805,1.865004e-05
7.462936e-03,-5.0,2.649804e+05,5.294542e-07,B-KINETIC,1.202000e+03,7.224020e+05,0.9301,2.011082e-05
8.441535e-03,-40.0,7.885254e+06,2.046298e-08,B-KINETIC,3.110000e+04,4.836050e+08,0.9967,1.480286e-05
8.441535e-03,-20.0,9.407003e+05,1.579759e-07,B-KINETIC,4.029000e+03,8.118435e+06,0.9752,1.648801e-05
8.441535e-03,-5.0,2.342621e+05,5.988804e-07,B-KINETIC,1.063000e+03,5.655160e+05,0.9123,1.777944e-05
9.548455e-03,-40.0,6.971143e+06,2.314625e-08,B-KINETIC,2.749500e+04,3.780013e+08,0.9958,1.308681e-05
9.548455e-03,-20.0,8.316480e+05,1.786909e-07,B-KINETIC,3.562000e+03,6.343922e+06,0.9685,1.457661e-05
9.548455e-03,-5.0,2.071049e+05,6.774104e-07,B-KINETIC,9.400000e+02,4.418000e+05,0.8904,1.571833e-05
1.080052e-02,-40.0,6.163001e+06,2.618137e-08,B-KINETIC,2.430800e+04,2.954394e+08,0.9946,1.156970e-05
1.080052e-02,-20.0,7.352379e+05,2.021223e-07,B-KINETIC,3.149000e+03,4.959675e+06,0.9601,1.288679e-05
1.080052e-02,-5.0,1.830959e+05,7.662377e-07,B-KINETIC,8.310000e+02,3.456960e+05,0.8640,1.389615e-05
1.221677e-02,-40.0,5.448545e+06,2.961447e-08,B-KINETIC,2.149000e+04,2.309100e+08,0.9931,1.022846e-05
1.221677e-02,-20.0,6.500042e+05,2.286261e-07,B-KINETIC,2.784000e+03,3.875328e+06,0.9495,1.139287e-05
1.221677e-02,-5.0,1.618702e+05,8.667129e-07,B-KINETIC,7.350000e+02,2.704800e+05,0.8323,1.228522e-05
1.381873e-02,-40.0,4.816914e+06,3.349775e-08,B-KINETIC,1.899900e+04,1.804905e+08,0.9912,9.042711e-06
1.381873e-02,-20.0,5.746514e+05,2.586054e-07,B-KINETIC,2.461000e+03,3.029491e+06,0.9363,1.007213e-05
1.381873e-02,-5.0,1.431051e+05,9.803631e-07,B-KINETIC,6.500000e+02,2.112500e+05,0.7951,1.086103e-05
1.563075e-02,-40.0,4.258505e+06,3.789024e-08,B-KINETIC,1.679600e+04,1.410528e+08,0.9888,7.994420e-06
1.563075e-02,-20.0,5.080340e+05,2.925158e-07,B-KINETIC,2.176000e+03,2.367488e+06,0.9199,8.904502e-06
1.563075e-02,-5.0,1.265154e+05,1.108916e-06,B-KINETIC,5.740000e+02,1.647380e+05,0.7520,9.601951e-06
1.768038e-02,-40.0,3.764831e+06,4.285871e-08,B-KINETIC,1.484900e+04,1.102538e+08,0.9857,7.067654e-06
1.768038e-02,-20.0,4.491393e+05,3.308727e-07,B-KINETIC,1.924000e+03,1.850888e+06,0.8997,7.872233e-06
1.768038e-02,-5.0,1.118489e+05,1.254326e-06,B-KINETIC,5.080000e+02,1.290320e+05,0.7033,8.488829e-06
1.999877e-02,-40.0,3.328386e+06,4.847868e-08,B-KINETIC,1.312800e+04,8.617219e+07,0.9818,6.248324e-06
1.999877e-02,-20.0,3.970721e+05,3.742594e-07,B-KINETIC,1.701000e+03,1.447551e+06,0.8752,6.959631e-06
1.999877e-02,-5.0,9.888265e+04,1.418803e-06,B-KINETIC,4.490000e+02,1.010250e+05,0.6494,7.504747e-06
2.262117e-02,-40.0,2.942538e+06,5.483559e-08,B-KINETIC,1.160600e+04,6.734962e+07,0.9768,5.523977e-06
2.262117e-02,-20.0,3.510408e+05,4.233352e-07,B-KINETIC,1.504000e+03,1.131008e+06,0.8457,6.152825e-06
2.262117e-02,-5.0,8.741952e+04,1.269941e-06,B-HEAT,5.020000e+02,1.260020e+05,0.6466,6.634747e-06
2.558744e-02,-40.0,2.601419e+06,6.202606e-08,B-KINETIC,1.026100e+04,5.264919e+07,0.9705,4.883601e-06
2.558744e-02,-20.0,3.103458e+05,4.788463e-07,B-KINETIC,1.330000e+03,8.844500e+05,0.8108,5.439548e-06
2.558744e-02,-5.0,7.728526e+04,1.122721e-06,B-HEAT,5.670000e+02,1.610280e+05,0.6466,5.865603e-06
2.894266e-02,-40.0,2.299845e+06,7.015941e-08,B-KINETIC,9.071000e+03,4.114606e+07,0.9626,4.317461e-06
2.894266e-02,-20.0,2.743685e+05,5.416364e-07,B-KINETIC,1.175000e+03,6.909000e+05,0.7701,4.808960e-06
2.894266e-02,-5.0,6.832584e+04,9.925680e-07,B-HEAT,6.420000e+02,2.060820e+05,0.6466,5.185623e-06
3.273785e-02,-40.0,2.033232e+06,7.935927e-08,B-KINETIC,8.020000e+03,3.216020e+07,0.9526,3.816952e-06
3.273785e-02,-20.0,2.425619e+05,6.126600e-07,B-KINETIC,1.039000e+03,5.402800e+05,0.7236,4.251473e-06
3.273785e-02,-5.0,6.040505e+04,8.775029e-07,B-HEAT,7.260000e+02,2.635380e+05,0.6466,4.584471e-06
3.703070e-02,-40.0,1.797526e+06,8.976548e-08,B-KINETIC,7.090000e+03,2.513405e+07,0.9401,3.374466e-06
3.703070e-02,-20.0,2.144425e+05,6.929968e-07,B-KINETIC,9.190000e+02,4.227400e+05,0.6717,3.758614e-06
3.703070e-02,-5.0,5.340250e+04,7.757769e-07,B-HEAT,8.210000e+02,3.374310e+05,0.6466,4.053009e-06
4.188645e-02,-40.0,1.589145e+06,1.015362e-07,B-KINETIC,6.268000e+03,1.964391e+07,0.9247,2.983275e-06
4.188645e-02,-20.0,1.895829e+05,7.058706e-07,B-HEAT,9.020000e+02,4.068020e+05,0.6397,3.322890e-06
4.188645e-02,-5.0,4.721172e+04,6.858437e-07,B-HEAT,9.280000e+02,4.305920e+05,0.6466,3.583157e-06
4.737893e-02,-40.0,1.404921e+06,1.148505e-07,B-KINETIC,5.542000e+03,1.535688e+07,0.9056,2.637434e-06
4.737893e-02,-20.0,1.676052e+05,6.240414e-07,B-HEAT,1.020000e+03,5.202000e+05,0.6397,2.937679e-06
4.737893e-02,-5.0,4.173863e+04,6.063361e-07,B-HEAT,1.050000e+03,5.512500e+05,0.6466,3.167774e-06
5.359163e-02,-40.0,1.242053e+06,1.299106e-07,B-KINETIC,4.899000e+03,1.200255e+07,0.8823,2.331685e-06
5.359163e-02,-20.0,1.481753e+05,5.516983e-07,B-HEAT,1.154000e+03,6.658580e+05,0.6397,2.597123e-06
5.359163e-02,-5.0,3.690001e+04,5.360456e-07,B-HEAT,1.188000e+03,7.056720e+05,0.6466,2.800544e-06
6.061899e-02,-40.0,1.098066e+06,1.469455e-07,B-KINETIC,4.331000e+03,9.380946e+06,0.8542,2.061381e-06
6.061899e-02,-20.0,1.309978e+05,4.877418e-07,B-HEAT,1.305000e+03,8.521650e+05,0.6397,2.296048e-06
6.061899e-02,-5.0,3.262231e+04,4.739036e-07,B-HEAT,1.343000e+03,9.024960e+05,0.6466,2.475886e-06
6.856783e-02,-40.0,9.707707e+05,1.662141e-07,B-KINETIC,3.829000e+03,7.332535e+06,0.8208,1.822412e-06
6.856783e-02,-20.0,1.158117e+05,4.311995e-07,B-HEAT,1.476000e+03,1.089288e+06,0.6397,2.029874e-06
6.856783e-02,-5.0,2.884052e+04,4.189656e-07,B-HEAT,1.519000e+03,1.154440e+06,0.6466,2.188865e-06
7.755898e-02,-40.0,8.582325e+05,1.880094e-07,B-KINETIC,3.385000e+03,5.730805e+06,0.7817,1.611146e-06
7.755898e-02,-20.0,1.023860e+05,3.812120e-07,B-HEAT,1.670000e+03,1.394450e+06,0.6397,1.794558e-06
7.755898e-02,-5.0,2.549713e+04,3.703963e-07,B-HEAT,1.719000e+03,1.478340e+06,0.6466,1.935117e-06
8.772913e-02,-40.0,7.587405e+05,2.126627e-07,B-KINETIC,2.993000e+03,4.480521e+06,0.7367,1.424371e-06
8.772913e-02,-20.0,9.051673e+04,3.370194e-07,B-HEAT,1.889000e+03,1.785105e+06,0.6397,1.586521e-06
8.772913e-02,-5.0,2.254133e+04,3.274575e-07,B-HEAT,1.944000e+03,1.889568e+06,0.6466,1.710786e-06
9.923286e-02,-40.0,6.707822e+05,2.405487e-07,B-KINETIC,2.646000e+03,3.500658e+06,0.6862,1.259248e-06
9.923286e-02,-20.0,8.002343e+04,2.979498e-07,B-HEAT,2.136000e+03,2.281248e+06,0.6397,1.402601e-06
9.923286e-02,-5.0,1.992819e+04,2.894964e-07,B-HEAT,2.199000e+03,2.418900e+06,0.6466,1.512460e-06
1.122451e-01,-40.0,5.930207e+05,2.720913e-07,B-KINETIC,2.339000e+03,2.736630e+06,0.6309,1.113268e-06
1.122451e-01,-20.0,7.074658e+04,2.634095e-07,B-HEAT,2.416000e+03,2.918528e+06,0.6397,1.240002e-06
1.122451e-01,-5.0,1.761798e+04,2.559361e-07,B-HEAT,2.487000e+03,3.093828e+06,0.6466,1.337126e-06
1.269635e-01,-40.0,5.242738e+05,2.426560e-07,B-HEAT,2.623000e+03,3.441376e+06,0.6289,9.842104e-07
1.269635e-01,-20.0,6.254517e+04,2.328733e-07,B-HEAT,2.733000e+03,3.736011e+06,0.6397,1.096253e-06
1.269635e-01,-5.0,1.557559e+04,2.262663e-07,B-HEAT,2.813000e+03,3.957891e+06,0.6466,1.182117e-06
1.436120e-01,-40.0,4.634965e+05,2.145257e-07,B-HEAT,2.967000e+03,4.403028e+06,0.6289,8.701142e-07
1.436120e-01,-20.0,5.529451e+04,2.058771e-07,B-HEAT,3.092000e+03,4.780232e+06,0.6397,9.691677e-07
1.436120e-01,-5.0,1.376996e+04,2.000360e-07,B-HEAT,3.182000e+03,5.062562e+06,0.6466,1.045078e-06
1.624435e-01,-40.0,4.097649e+05,1.896564e-07,B-HEAT,3.356000e+03,5.631368e+06,0.6289,7.692448e-07
1.624435e-01,-20.0,4.888440e+04,1.820105e-07,B-HEAT,3.497000e+03,6.116253e+06,0.6397,8.568154e-07
1.624435e-01,-5.0,1.217366e+04,1.768465e-07,B-HEAT,3.599000e+03,6.478200e+06,0.6466,9.239257e-07
1.837444e-01,-40.0,3.622622e+05,1.676702e-07,B-HEAT,3.796000e+03,7.204808e+06,0.6289,6.800688e-07
1.837444e-01,-20.0,4.321740e+04,1.609106e-07,B-HEAT,3.955000e+03,7.822990e+06,0.6397,7.574876e-07
1.837444e-01,-5.0,1.076241e+04,1.563452e-07,B-HEAT,4.071000e+03,8.288556e+06,0.6466,8.168181e-07
2.078384e-01,-40.0,3.202664e+05,1.482328e-07,B-HEAT,4.294000e+03,9.219218e+06,0.6289,6.012307e-07
2.078384e-01,-20.0,3.820735e+04,1.422568e-07,B-HEAT,4.474000e+03,1.000834e+07,0.6397,6.696746e-07
2.078384e-01,-5.0,9.514757e+03,1.382207e-07,B-HEAT,4.605000e+03,1.060532e+07,0.6466,7.221271e-07
2.350918e-01,-40.0,2.831389e+05,1.310486e-07,B-HEAT,4.857000e+03,1.179765e+07,0.6289,5.315320e-07
2.350918e-01,-20.0,3.377810e+04,1.257654e-07,B-HEAT,5.061000e+03,1.280939e+07,0.6397,5.920415e-07
2.350918e-01,-5.0,8.411743e+03,1.221972e-07,B-HEAT,5.208000e+03,1.356163e+07,0.6466,6.384133e-07
2.659189e-01,-40.0,2.503156e+05,1.158566e-07,B-HEAT,5.493000e+03,1.508927e+07,0.6289,4.699133e-07
2.659189e-01,-20.0,2.986232e+04,1.111858e-07,B-HEAT,5.724000e+03,1.638209e+07,0.6397,5.234081e-07
2.659189e-01,-5.0,7.436598e+03,1.080313e-07,B-HEAT,5.891000e+03,1.735489e+07,0.6466,5.644042e-07
3.007883e-01,-40.0,2.212973e+05,1.024257e-07,B-HEAT,6.214000e+03,1.930690e+07,0.6289,4.154378e-07
3.007883e-01,-20.0,2.640048e+04,9.829644e-08,B-HEAT,6.475000e+03,2.096605e+07,0.6397,4.627311e-07
3.007883e-01,-5.0,6.574498e+03,9.550758e-08,B-HEAT,6.664000e+03,2.220445e+07,0.6466,4.989747e-07
3.402300e-01,-40.0,1.956431e+05,9.055185e-08,B-HEAT,7.028000e+03,2.469639e+07,0.6289,3.672775e-07
3.402300e-01,-20.0,2.333996e+04,8.690126e-08,B-HEAT,7.324000e+03,2.682049e+07,0.6397,4.090883e-07
3.402300e-01,-5.0,5.812338e+03,8.443571e-08,B-HEAT,7.538000e+03,2.841072e+07,0.6466,4.411302e-07
3.848436e-01,-40.0,1.729628e+05,8.005448e-08,B-HEAT,7.950000e+03,3.160125e+07,0.6289,3.247002e-07
3.848436e-01,-20.0,2.063424e+04,7.682709e-08,B-HEAT,8.284000e+03,3.431233e+07,0.6397,3.616640e-07
3.848436e-01,-5.0,5.138533e+03,7.464736e-08,B-HEAT,8.526000e+03,3.634634e+07,0.6466,3.899915e-07
4.353073e-01,-40.0,1.529118e+05,7.077403e-08,B-HEAT,8.992000e+03,4.042803e+07,0.6289,2.870588e-07
