T_C,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin
-3.835,1.000e-01,1.786216e+04,2.866534e-07,B-HEAT,2.221000e+03,2.467531e+06,0.6471
-3.835,1.000e-02,1.786216e+05,7.820324e-07,B-KINETIC,8.140000e+02,3.312980e+05,0.8705
-3.835,1.000e-03,1.786216e+06,7.820324e-08,B-KINETIC,8.138000e+03,3.311352e+07,0.9985
-3.346,1.000e-01,1.712028e+04,2.863936e-07,B-HEAT,2.223000e+03,2.471976e+06,0.6473
-3.346,1.000e-02,1.712028e+05,8.144427e-07,B-KINETIC,7.820000e+02,3.057620e+05,0.8658
-3.346,1.000e-03,1.712028e+06,8.144427e-08,B-KINETIC,7.814000e+03,3.052930e+07,0.9985
-2.857,1.000e-01,1.641159e+04,2.861346e-07,B-HEAT,2.225000e+03,2.476425e+06,0.6475
-2.857,1.000e-02,1.641159e+05,8.480758e-07,B-KINETIC,7.510000e+02,2.823760e+05,0.8611
-2.857,1.000e-03,1.641159e+06,8.480758e-08,B-KINETIC,7.504000e+03,2.815501e+07,0.9984
-2.368,1.000e-01,1.573451e+04,2.858762e-07,B-HEAT,2.227000e+03,2.480878e+06,0.6477
-2.368,1.000e-02,1.573451e+05,8.829734e-07,B-KINETIC,7.210000e+02,2.602810e+05,0.8562
-2.368,1.000e-03,1.573451e+06,8.829734e-08,B-KINETIC,7.208000e+03,2.597763e+07,0.9983
-1.880,1.000e-01,1.508752e+04,2.856186e-07,B-HEAT,2.229000e+03,2.485335e+06,0.6479
-1.880,1.000e-02,1.508752e+05,9.191784e-07,B-KINETIC,6.930000e+02,2.404710e+05,0.8511
-1.880,1.000e-03,1.508752e+06,9.191784e-08,B-KINETIC,6.924000e+03,2.397089e+07,0.9983
-1.391,1.000e-01,1.446919e+04,2.853617e-07,B-HEAT,2.231000e+03,2.489796e+06,0.6481
-1.391,1.000e-02,1.446919e+05,9.567352e-07,B-KINETIC,6.660000e+02,2.217780e+05,0.8460
-1.391,1.000e-03,1.446919e+06,9.567352e-08,B-KINETIC,6.652000e+03,2.212455e+07,0.9982
