# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 60.3622 +/- 0.0432 deg, tau = 1.222207e+06 s, fit_rms = 0.01483, n = 36, error_inf = +0.3622 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
605,1.099330e+06,right,1.000000e-04,100.5533,100.5533,2.734935e-04,2.147148e-04,210,60.0000,40.5533
627,1.143330e+06,left,0.000000e+00,99.1105,99.1105,3.151376e-04,8.480468e-05,210,60.0000,39.1105
627,1.143330e+06,left,1.000000e-04,99.1478,99.1478,3.151376e-04,8.483724e-05,210,60.0000,39.1478
627,1.143330e+06,right,0.000000e+00,99.1105,99.1105,3.151376e-04,2.151953e-04,210,60.0000,39.1105
627,1.143330e+06,right,1.000000e-04,99.1478,99.1478,3.151376e-04,2.151628e-04,210,60.0000,39.1478
649,1.187330e+06,left,0.000000e+00,97.7465,97.7465,3.700870e-04,8.437155e-05,210,60.0000,37.7465
649,1.187330e+06,left,1.000000e-04,97.7827,97.7827,3.700870e-04,8.440307e-05,210,60.0000,37.7827
649,1.187330e+06,right,0.000000e+00,97.7465,97.7465,3.700870e-04,2.156285e-04,210,60.0000,37.7465
649,1.187330e+06,right,1.000000e-04,97.7827,97.7827,3.700870e-04,2.155969e-04,210,60.0000,37.7827
671,1.231330e+06,left,0.000000e+00,96.4253,96.4253,4.455900e-04,8.395264e-05,210,60.0000,36.4253
671,1.231330e+06,left,1.000000e-04,96.4602,96.4602,4.455900e-04,8.398313e-05,210,60.0000,36.4602
671,1.231330e+06,right,0.000000e+00,96.4253,96.4253,4.455900e-04,2.160474e-04,210,60.0000,36.4253
671,1.231330e+06,right,1.000000e-04,96.4602,96.4602,4.455900e-04,2.160169e-04,210,60.0000,36.4602
693,1.275330e+06,left,0.000000e+00,95.1447,95.1447,5.557724e-04,8.354711e-05,210,60.0000,35.1447
693,1.275330e+06,left,1.000000e-04,95.1785,95.1785,5.557724e-04,8.357659e-05,210,60.0000,35.1785
693,1.275330e+06,right,0.000000e+00,95.1447,95.1447,5.557724e-04,2.164529e-04,210,60.0000,35.1447
693,1.275330e+06,right,1.000000e-04,95.1785,95.1785,5.557724e-04,2.164234e-04,210,60.0000,35.1785
715,1.319330e+06,left,0.000000e+00,93.9056,93.9056,7.310245e-04,8.315506e-05,210,60.0000,33.9056
715,1.319330e+06,left,1.000000e-04,93.9382,93.9382,7.310245e-04,8.318353e-05,210,60.0000,33.9382
715,1.319330e+06,right,0.000000e+00,93.9056,93.9056,7.310245e-04,2.168449e-04,210,60.0000,33.9056
715,1.319330e+06,right,1.000000e-04,93.9382,93.9382,7.310245e-04,2.168165e-04,210,60.0000,33.9382
737,1.363330e+06,left,0.000000e+00,92.7097,92.7097,1.051505e-03,8.277684e-05,210,60.0000,32.7097
737,1.363330e+06,left,1.000000e-04,92.7413,92.7413,1.051505e-03,8.280435e-05,210,60.0000,32.7413
737,1.363330e+06,right,0.000000e+00,92.7097,92.7097,1.051505e-03,2.172232e-04,210,60.0000,32.7097
737,1.363330e+06,right,1.000000e-04,92.7413,92.7413,1.051505e-03,2.171957e-04,210,60.0000,32.7413
759,1.407330e+06,left,0.000000e+00,91.5559,91.5559,1.823627e-03,8.241195e-05,210,60.0000,31.5559
759,1.407330e+06,left,1.000000e-04,91.5864,91.5864,1.823627e-03,8.243854e-05,210,60.0000,31.5864
759,1.407330e+06,right,0.000000e+00,91.5559,91.5559,1.823627e-03,2.175881e-04,210,60.0000,31.5559
759,1.407330e+06,right,1.000000e-04,91.5864,91.5864,1.823627e-03,2.175615e-04,210,60.0000,31.5864
781,1.451330e+06,left,0.000000e+00,90.4453,90.4453,6.227937e-03,8.206063e-05,210,60.0000,30.4453
781,1.451330e+06,left,1.000000e-04,90.4747,90.4747,6.227937e-03,8.208634e-05,210,60.0000,30.4747
781,1.451330e+06,right,0.000000e+00,90.4453,90.4453,6.227937e-03,2.179394e-04,210,60.0000,30.4453
781,1.451330e+06,right,1.000000e-04,90.4747,90.4747,6.227937e-03,2.179137e-04,210,60.0000,30.4747
803,1.495330e+06,left,0.000000e+00,89.3754,89.3754,4.693775e-03,8.172206e-05,210,60.0000,29.3754
803,1.495330e+06,left,1.000000e-04,89.4039,89.4039,4.693775e-03,8.174690e-05,210,60.0000,29.4039
803,1.495330e+06,right,0.000000e+00,89.3754,89.3754,4.693776e-03,2.182779e-04,210,60.0000,29.3754
803,1.495330e+06,right,1.000000e-04,89.4039,89.4039,4.693776e-03,2.182531e-04,210,60.0000,29.4039
825,1.539330e+06,left,0.000000e+00,88.3451,88.3451,1.745809e-03,8.139576e-05,210,60.0000,28.3451
825,1.539330e+06,left,1.000000e-04,88.3726,88.3726,1.745809e-03,8.141977e-05,210,60.0000,28.3726
825,1.539330e+06,right,0.000000e+00,88.3451,88.3451,1.745809e-03,2.186042e-04,210,60.0000,28.3451
825,1.539330e+06,right,1.000000e-04,88.3726,88.3726,1.745809e-03,2.185802e-04,210,60.0000,28.3726
847,1.583330e+06,left,0.000000e+00,87.3557,87.3557,1.089231e-03,8.108212e-05,210,60.0000,27.3557
847,1.583330e+06,left,1.000000e-04,87.3823,87.3823,1.089231e-03,8.110535e-05,210,60.0000,27.3823
847,1.583330e+06,right,0.000000e+00,87.3557,87.3557,1.089231e-03,2.189179e-04,210,60.0000,27.3557
